,city,lon,lat,humidity,pressure,country,max temperature,wind speed,cloudiness,date
0,Iskateley,53.1512,67.6803,81,1001,RU,29.95,10.89,47,1634757505
1,Longyearbyen,15.6401,78.2186,72,1008,SJ,10.24,11.5,20,1634757505
2,Cherskiy,161.3,68.75,100,1013,RU,-5.39,5.55,100,1634757286
3,Hobart,147.3294,-42.8794,87,1019,AU,46.26,6.91,75,1634757303
4,Albany,-73.9662,42.6001,45,1013,US,74.44,1.99,67,1634757289
5,Province of Mantua,10.7833,45.1667,86,1020,IT,64.72,1.01,100,1634757507
6,Butaritari,172.7902,3.0707,73,1013,KI,81.34,8.14,72,1634757508
7,Saint Paul Harbor,-152.4072,57.79,81,989,US,42.31,10.36,90,1634757508
8,Cape Town,18.4232,-33.9258,70,1010,ZA,66.88,3.0,0,1634757366
9,Thompson,-97.8558,55.7435,42,1027,CA,41.16,12.66,20,1634757307
10,Jamestown,-79.2353,42.097,50,1017,US,70.09,8.01,1,1634757510
11,Port Elizabeth,25.5701,-33.918,88,1014,ZA,66.09,12.66,40,1634757510
12,Pacifica,-122.4869,37.6138,85,1018,US,68.32,4.0,75,1634757511
13,Tselinnoye,85.6667,53.0833,61,1018,RU,41.56,5.41,54,1634757512
14,Hithadhoo,73.0833,-0.6,77,1014,MV,81.07,11.25,100,1634757512
15,Ushuaia,-68.3,-54.8,43,996,AR,51.42,17.27,75,1634757513
16,Valladolid,-4.6667,41.5833,74,1018,ES,63.84,15.82,0,1634757513
17,Hermanus,19.2345,-34.4187,83,1013,ZA,68.9,10.33,30,1634757514
18,Cockburn Town,-71.1419,21.4612,78,1016,TC,78.76,4.61,75,1634757514
19,Mataura,168.8643,-46.1927,81,1032,NZ,41.52,1.41,100,1634757515
20,Kansanshi,26.4273,-12.0951,44,1013,ZM,73.29,4.27,99,1634757516
21,Teya,92.6267,60.3778,86,1018,RU,35.8,4.83,21,1634757516
22,Arraial do Cabo,-42.0278,-22.9661,94,1018,BR,64.36,5.75,90,1634757517
23,Hilo,-155.09,19.7297,74,1019,US,79.25,6.91,40,1634757517
24,Bluff,168.3333,-46.6,60,1032,NZ,47.1,3.56,100,1634757517
25,Puerto Ayora,-90.3518,-0.7393,80,1014,EC,78.76,11.27,100,1634757518
26,Gorontalo,123.0595,0.5412,94,1010,ID,75.16,3.96,93,1634757519
27,Saint-Pierre,55.4781,-21.3393,77,1020,RE,73.08,2.3,90,1634757274
28,Saint-Philippe,55.7679,-21.3585,77,1022,RE,72.99,9.89,38,1634757520
29,Constitución,-72.4167,-35.3333,70,1020,CL,59.05,6.8,41,1634757520
30,Camacupa,17.4833,-12.0167,80,1014,AO,65.73,3.96,99,1634757521
31,Airai,125.4092,-8.9266,84,1012,TL,61.88,1.12,100,1634757521
32,Amapá,-52.0,1.0,40,1008,BR,92.41,3.71,76,1634757522
33,Carora,-70.0827,10.1755,41,1008,VE,91.63,4.36,85,1634757523
34,Arrondissement de Mayenne,-0.6667,48.3333,87,1000,FR,54.84,29.15,100,1634757523
35,Ambilobe,49.05,-13.2,79,1017,MG,71.94,3.24,54,1634757227
36,Ancud,-73.8203,-41.8697,85,1019,CL,60.42,10.27,100,1634757524
37,San Cristobal,-72.225,7.7669,38,1010,VE,78.98,3.11,12,1634757525
38,Rikitea,-134.9692,-23.1203,73,1022,PF,74.44,19.28,0,1634757425
39,Busselton,115.3333,-33.65,79,1012,AU,52.05,14.65,96,1634757525
40,Atuona,-139.0333,-9.8,80,1016,PF,77.22,13.96,49,1634757526
41,Ponta do Sol,-17.1,32.6667,80,1024,PT,75.7,6.06,100,1634757526
42,San Patricio,-97.5169,28.017,52,1016,US,90.01,5.41,40,1634757527
43,Acapulco de Juárez,-99.8901,16.8634,70,1013,MX,87.62,5.75,40,1634757527
44,Port-Gentil,8.7815,-0.7193,84,1013,GA,78.17,9.15,100,1634757528
45,Ribeira Grande,-28.7,38.5167,68,1026,PT,70.2,5.75,20,1634757529
46,Yellowknife,-114.3525,62.456,77,1016,CA,41.56,5.99,75,1634757529
47,Severo-Kuril'sk,156.125,50.6789,69,1006,RU,35.33,25.12,96,1634757309
48,Bhādāsar,74.3167,28.2833,16,1011,IN,81.1,7.63,0,1634757530
49,Salta,-65.4117,-24.7859,28,1012,AR,79.57,8.99,20,1634757531
50,Hammerfest,23.6821,70.6634,74,991,NO,28.13,19.57,100,1634757531
51,Oranjestad,-70.027,12.524,58,1011,AW,91.35,16.11,20,1634757318
52,Nísia Floresta,-35.2086,-6.0911,65,1011,BR,85.01,13.65,52,1634757532
53,Safaga,33.9365,26.7292,48,1017,EG,78.19,22.08,0,1634757298
54,Port Alfred,26.891,-33.5906,86,1016,ZA,64.78,19.62,7,1634757514
55,East London,27.9116,-33.0153,81,1018,ZA,65.26,16.73,5,1634757534
56,Madang,145.7966,-5.2246,90,1010,PG,75.43,3.69,91,1634757535
57,Bayanday,105.5139,53.0661,88,1030,RU,29.82,3.83,3,1634757535
58,Ingham,-84.3833,42.6,54,1016,US,72.84,6.91,1,1634757536
59,Kapaa,-159.319,22.0752,76,1020,US,80.58,1.01,20,1634757536
60,Nikolskoye,30.7861,59.7035,96,984,RU,44.87,13.09,100,1634757286
61,Nantucket,-70.0995,41.2835,61,1013,US,71.02,12.66,1,1634757537
62,Qaanaaq,-69.3632,77.484,78,1020,GL,11.95,6.53,13,1634757538
